번호,인허가일자,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,영업장주변구분명
275,19910926,서울특별시 강동구 명일동 312-132번지 지상1층 ,"서울특별시 강동구 고덕로38길 54 (명일동,지상1층)",만석바지락칼국수,한식,212519.999219377    ,450006.478228421    ,한식,주택가주변
276,19910925,서울특별시 양천구 신월동 982-4번지 지하 1층 ,"서울특별시 양천구 신월로 111 (신월동,지하 1층)",한겨레식당,한식,185449.982878276    ,446026.918290116    ,한식,주택가주변
277,19910924,"서울특별시 중구 충무로4가 24-7번지 ,24-14 ","서울특별시 중구 충무로2길 33-2 (충무로4가,,24-14)",잔치집 감자탕,한식,199495.863197699    ,451126.249271579    ,한식,기타
278,19910920,서울특별시 종로구 종로5가 225-6 ,서울특별시 종로구 종로40가길 39-3 (종로5가),장터곱창,한식,200335.808493398    ,451995.043791143    ,한식,기타
279,19910919,서울특별시 강남구 개포동 186-17번지 ,서울특별시 강남구 개포로 512 (개포동),시나브로,한식,206016.389900122    ,443010.2799779      ,한식,아파트지역
280,19910919,서울특별시 관악구 신림동 1653-0번지 지상1층 ,"서울특별시 관악구 조원로 20, 1층 (신림동)",강남숯불갈비,한식,191494.217231529    ,442341.131994796    ,한식,아파트지역
281,19910919,서울특별시 중랑구 면목동 428-22 ,서울특별시 중랑구 면목로56길 10 (면목동),은술집,호프/통닭,207787.774252713    ,453526.202046907    ,호프/통닭,주택가주변
282,19910919,서울특별시 동대문구 용두동 112-31번지 (용두북길8) ,"서울특별시 동대문구 무학로36길 14 (용두동,(용두북길8))",고흥식당,한식,202701.066241342    ,452771.988198624    ,한식,기타
283,19910919,서울특별시 중구 남산동2가 24-14번지 ,서울특별시 중구 소파로 125 (남산동2가),스팅,경양식,198791.68641318     ,450680.380113785    ,경양식,기타
284,19910918,서울특별시 영등포구 신길동 255-1번지 ,,최고식당가,한식,192006.128895165    ,444983.221101485    ,한식,주택가주변
285,19910917,서울특별시 서대문구 창천동 5-63번지 ,서울특별시 서대문구 명물길 36-7 (창천동),꾸 (COUP),경양식,194531.075635129    ,450650.430800749    ,경양식,주택가주변
286,19910916,서울특별시 송파구 가락동 96-8번지 ,서울특별시 송파구 송파대로32길 6-7 (가락동),쉬리,기타,210337.712235569    ,443658.872838787    ,기타,아파트지역
287,19910916,"서울특별시 서초구 서초동 1558-8 , 9호 1층 ","서울특별시 서초구 서초대로48길 44, 1층 (서초동)",서호정,한식,200986.829489777    ,443194.598369145    ,한식,주택가주변
288,19910916,서울특별시 서초구 방배동 912-10번지 2층 ,"서울특별시 서초구 방배로11길 3 (방배동,2층)",마포별관,한식,199612.011152781    ,442169.587058517    ,한식,주택가주변
289,19910916,서울특별시 금천구 독산동 973-15 지상1층 (독산동길 50) ,"서울특별시 금천구 독산로 319 (독산동,지상1층 (독산동길 50))",페리카나,통닭(치킨),191375.440828602    ,441465.713607147    ,통닭(치킨),주택가주변
290,19910916,서울특별시 서대문구 창천동 52-35번지 ,서울특별시 서대문구 연세로11길 19 (창천동),빠빠빠치킨,통닭(치킨),194251.311259905    ,450732.611508658    ,통닭(치킨),유흥업소밀집지역
291,19910916,서울특별시 중랑구 묵동 174-4 ,서울특별시 중랑구 공릉로2길 7 (묵동),멕시칸치킨,통닭(치킨),206859.21503478     ,456654.831186357    ,통닭(치킨),주택가주변
292,19910916,서울특별시 중구 남창동 190-14번지 ,,맛나정,한식,198025.637572799    ,450546.012855103    ,한식,주택가주변
293,19910916,서울특별시 종로구 동숭동 1-58번지 ,서울특별시 종로구 대학로8가길 30 (동숭동),투뿔소,통닭(치킨),200153.322797562    ,453332.518876344    ,통닭(치킨),기타
294,19910916,서울특별시 종로구 명륜4가 31-2번지 ,서울특별시 종로구 대학로 127-8 (명륜4가),명륜동식당,한식,200038.162723932    ,453368.830317198    ,한식,기타
295,19910914,서울특별시 강동구 길동 392-11번지 ,서울특별시 강동구 천호대로185길 89 (길동),페리카나치킨,통닭(치킨),212480.531746742    ,448427.874427656    ,통닭(치킨),주택가주변
296,19910914,서울특별시 금천구 독산동 998-10        (두산길 67) ,"서울특별시 금천구 두산로 20 (독산동,       (두산길 67))",장수오리촌,한식,190196.872050278    ,440899.201823834    ,한식,주택가주변
297,19910914,서울특별시 금천구 독산동 447-0번지 하안2차지구 ,서울특별시 금천구 벚꽃로 58 (독산동),약속호프,호프/통닭,,,호프/통닭,주택가주변
298,19910914,서울특별시 마포구 공덕동 111-234번지 ,서울특별시 마포구 효창목길 15 (공덕동),동부 숯불갈비,한식,196351.611520106    ,449504.499625415    ,한식,주택가주변
299,19910914,서울특별시 중랑구 상봉동 130-89번지 ,"서울특별시 중랑구 망우로30길 21, 1층 (상봉동)",닭이랑 도니,한식,206549.04972061     ,454460.414500927    ,한식,기타
300,19910913,서울특별시 금천구 가산동 238-68번지 ,서울특별시 금천구 벚꽃로 200 (가산동),유나호프,분식,189931.6788533      ,441179.951036784    ,분식,기타
301,19910913,서울특별시 강서구 등촌동 509-3번지 (지하 1층) ,"서울특별시 강서구 등촌로51길 지하 4, 1층 (등촌동, 2동)",베스트(Best),까페,187832.647143788    ,449643.92412075     ,까페,기타
302,19910913,서울특별시 마포구 성산동 341-15번지 상가103 ,,지희네양념통닭,분식,,,분식,주택가주변
303,19910913,서울특별시 종로구 명륜2가 142-1번지 ,서울특별시 종로구 성균관로 19 (명륜2가),베이브네,분식,199692.728134323    ,453562.926014659    ,분식,기타
304,19910913,서울특별시 종로구 동숭동 130-55번지 ,서울특별시 종로구 동숭2길 2 (동숭동),동숭골,한식,200321.041907982    ,453153.361814617    ,한식,기타
305,19910912,서울특별시 구로구 신도림동 291-124번지 ,서울특별시 구로구 신도림로11다길 23 (신도림동),페리카나치킨,통닭(치킨),189129.457050237    ,445132.132162314    ,통닭(치킨),기타
306,19910912,서울특별시 종로구 창신동 205-1번지 ,서울특별시 종로구 종로 327 (창신동),고인돌,경양식,201157.747882236    ,452268.405864665    ,경양식,기타
307,19910911,서울특별시 금천구 시흥동 912-8 지상1층 ,"서울특별시 금천구 금하로 722 (시흥동, 지상1층)",솔향기,한식,191958.363261622    ,438698.91379113     ,한식,주택가주변
