,name,hours,menu,tag,location,number
232,"
새벽집
",24시간 영업                    ,"{'꽃등심(150g)': '72,000원', '양념갈비(260g)': '72,000원', '생고기(150g)': '72,000원', '불고기(200g)': '38,000원', '샤브샤브(160g)': '38,000원', '육회(200g)': '38,000원', '국수전골': '28,000원', '간장게장': '72,000원', '한우 갈비탕': '22,000원', '육회비빔밥': '14,000원', '따로국밥': '10,000원', '콩나물 국밥': '10,000원', '멸치김치찌개': '10,000원', '돼지김치찌개': '10,000원', '조랭이만두국': '10,000원', '된장찌개': '10,000원', '냉면': '10,000원'}","{'점심식사': 29, '저녁식사': 24, '가족외식': 19, '아침식사': 16, '식사모임': 15, '회식': 14, '혼밥': 10, '술모임': 9, '데이트': 8, '접대': 7, '혼술': 2, '야식': 1, '모임': 1, '파인다이닝': 1, '친구들끼리': 1, '기념일': 1, '실버푸드': 1, '가성비는 영 ~': 1, '남자끼리': 1, '간식': 1, '시끌벅적한': 20, '서민적인': 12, '캐주얼한': 10, '고급스러운': 6, '지역주민이 찾는': 5, '푸짐한': 5, '깔끔한': 3, '가성비좋은': 3, '예쁜': 3, '조용한': 3, '규모가큰': 3, '지역주민이찾는': 3, '숨은맛집': 2, '퀄리티 좋은': 1, '불친절': 1, '격식있는': 1, '경관/야경이 좋은': 1, '아주비싼': 1, '토속적인': 1, '젊은사람이많은': 1, '복잡한구조': 1, '오래된집': 1, '발렛주차': 27, '24시간영업': 9, '개별룸': 6, '무료주차': 5, '발렛3천원~헐': 1, '배달': 1}",서울특별시 강남구 청담동 129-10,02-546-5739
233,"
을밀대 강남점
",오전 11시 - 오후 10시                    ,"{'물냉면': '14,000원', '녹두전': '11,000원', '비빔냉면': '14,000원', '회냉면': '18,000원', '한우수육': '40,000원', '한우양지탕': '13,000원', '한우육개장': '13,000원', '홍어무침': '70,000원', '사리': '8,000원', '수육': '40000~80000'}","{'점심식사': 21, '저녁식사': 18, '혼밥': 12, '식사모임': 11, '데이트': 8, '가족외식': 8, '회식': 4, '혼술': 3, '남자끼리': 2, '술모임': 2, '간식': 2, '접대': 1, '모임': 1, '아이동반': 1, '시끌벅적한': 16, '서민적인': 14, '캐주얼한': 10, '조용한': 4, '지역주민이찾는': 4, '깔끔한': 3, '지역주민이 찾는': 3, '가성비좋은': 2, '경관/야경이 좋은': 1, '중년이상이많은': 1, '격식있는': 1, '토속적인': 1, '경관/야경이좋은': 1, '푸짐한': 1, '오래된집': 1, '무료주차': 10, '좌식': 3, '개별룸': 3, '현장대기필요': 2, '주차불가': 2, '지하주차 비싸다': 1, '대형룸': 1}",서울특별시 강남구 역삼동 826-37,02-552-1922
234,"
한추
",오후 2시 - 자정 12시                    ,"{'후라이드치킨': '20,000원', '양념치킨': '21,000원', '고추튀김': '19,000원', '닭똥집튀김': '18,000원', '오징어튀김': '18,000원', '야채튀김': '11,000원', '한추떡볶이': '18,000원', '골뱅이무침': '22,000원', '계란말이': '16,000원', '순두부탕': '15,000원', '오뎅탕': '15,000원', '번데기': '12,000원', '육포': '15,000원', '한치구이': '17,000원', '오징어구이': '15,000원', '황도': '10,000원'}","{'술모임': 29, '저녁식사': 15, '회식': 12, '식사모임': 7, '데이트': 7, '야식': 2, '점심식사': 2, '모임': 1, '가족외식': 1, '시끌벅적한': 21, '서민적인': 21, '캐주얼한': 7, '숨은맛집': 3, '지역주민이찾는': 3, '지역주민이 찾는': 3, '푸짐한': 2, '가성비좋은': 2, '이국적/이색적': 1, '토속적인': 1, '조용한': 1, '복고풍': 1, '규모가큰': 1, '허름한': 1, '무료주차': 2, '발렛주차': 1, '주차불가': 1}",서울특별시 강남구 신사동 549-9,02-541-0969
235,"
외고집설렁탕
",오전 11시 - 오후 9시                    ,"{'설렁탕': '13,000원', '설렁탕(특)': '20,000원', '육개장': '17,000원', '수육(중)': '55,000원', '수육(대)': '75,000원', '도가니탕': '28,000원', '도가니수육': '70,000원'}","{'점심식사': 18, '저녁식사': 17, '혼밥': 11, '가족외식': 8, '식사모임': 6, '아침식사': 3, '회식': 2, '혼술': 2, '술모임': 1, '모임': 1, '접대': 1, '데이트': 1, '서민적인': 9, '깔끔한': 8, '캐주얼한': 5, '숨은맛집': 2, '격식있는': 2, '가성비좋은': 2, '조용한': 2, '고급스러운': 2, '지역주민이찾는': 2, '시끌벅적한': 2, '지역주민이 찾는': 2, '푸짐한': 2, '아담한': 1, '중년이상이많은': 1, '대치동에서 삼성동': 1, '발렛주차': 8, '무료주차': 5, '개별룸': 2, '놀이방': 1, '콜키지 무료': 1}",서울특별시 강남구 삼성동 120-8,02-567-5225
236,"
뱃고동 본점
",정오 12시 - 오후 10시                    ,"{'오징어불고기백반': '8,000원', '낙지불고기백반': '8,500원', '산낙지불고기': '28,000원', '낙지불고기': '16,000원', '오징어불고기': '15,000원', '낙지전골': '16,000원', '오징어전골': '15,000원', '오징어튀김': '12,000원', '산낙지연포탕': '30,000원', '산낙지데침': '30,000원', '산낙지': '30,000원', '산낙지전골': '28,000원', '오징어데침': '12,000원', '낙지빈대떡': '8,000원', '해물파전': '12,000원', '조재탕': '22,000원', '오징어전골백반': '8,000원', '낙지전골백반': '8,500원'}","{'점심식사': 14, '저녁식사': 11, '가족외식': 8, '식사모임': 8, '데이트': 6, '술모임': 4, '회식': 3, '아이동반': 1, '서민적인': 12, '시끌벅적한': 10, '캐주얼한': 9, '가성비좋은': 6, '푸짐한': 4, '지역주민이찾는': 3, '지역주민이 찾는': 3, '숨은맛집': 2, '깔끔한': 1, '발렛주차': 3, '대형룸': 2, '개별룸': 2, '주차불가': 1}",서울시 강남구 신사동 663,02-514-8008
237,"
한성칼국수 논현점
",오전 11시 30분 - 오후 9시 50분                    ,"{'칼국수': '10,000원', '만두국+밥': '10,000원', '수육 소': '28,000원', '낙지볶음': '36,000원', '모듬전 대': '34,000원', '제육 대': '34,000원', '굴전': '22,000원', '빈대떡': '10,000원', '콩비지': '10,000원', '새우전': '24,000원', '참소라데침- 대': '29,000원', '파전': '23,000원', '수육- 소': '28,000원', '제육- 소': '25,000원', '참소라데침- 소': '23,000원', '문어데침- 소': '23,000원', '낙지데침': '28,000원', '모듬전- 대': '34,000원', '모듬전- 소': '24,000원', '대구전': '22,000원', '호박전': '20,000원', '육개장(여름제외)': '10,000원', '생굴(겨울한정)': '27,000원', '낙지볶음+사리': '40,000원', '접수만두': '9,000원', '안주만두': '18,000원', '조개탕': '19,000원'}","{'저녁식사': 12, '점심식사': 11, '식사모임': 11, '가족외식': 7, '회식': 5, '술모임': 5, '데이트': 4, '아이동반': 1, '실버푸드': 1, '혼밥': 1, '서민적인': 9, '시끌벅적한': 6, '지역주민이찾는': 5, '숨은맛집': 4, '깔끔한': 3, '지역주민이 찾는': 2, '캐주얼한': 2, '발렛주차': 6, '무료주차': 1}",서울특별시 강남구 논현동 98-12,02-544-0540
238,"
평양면옥
",오전 11시 - 오후 9시 30분                    ,"{'냉면': '14,000원', '비빔냉면': '14,000원', '온면': '14,000원', '한우사골떡국': '14,000원'}","{'점심식사': 13, '저녁식사': 10, '식사모임': 9, '가족외식': 8, '혼밥': 6, '데이트': 4, '회식': 3, '술모임': 2, '실버푸드': 2, '아침식사': 1, '다이어트식단': 1, '접대': 1, '아이동반': 1, '혼술': 1, '깔끔한': 6, '서민적인': 6, '캐주얼한': 6, '시끌벅적한': 5, '조용한': 3, '지역주민이찾는': 2, '지역주민이 찾는': 2, '푸짐한': 2, '격식있는': 2, '규모가큰': 1, '고급스러운': 1, '발렛주차': 13, '대형룸': 3, '무료주차': 2, '개별룸': 1}",서울특별시 강남구 도곡동 423,02-577-7784
239,"
평양면옥 논현점
",오전 11시 - 오후 11시                    ,"{'제육': '34,000원', '편육': '37,000원', '어복쟁반 大': '100,000원', '어복쟁반 小': '60,000원', '불고기': '38,000원', '냉면': '14,000원', '제육반': '17,000원', '편육반': '19,000원', '제육반/편육반': '36,000원', '쟁반추가고기': '55,000원', '비빔냉면': '14,000원'}","{'점심식사': 13, '저녁식사': 9, '가족외식': 6, '혼밥': 6, '데이트': 4, '식사모임': 4, '아침식사': 1, '회식': 1, '혼술': 1, '다이어트식단': 1, '실버푸드': 1, '캐주얼한': 5, '시끌벅적한': 5, '서민적인': 3, '숨은맛집': 3, '깔끔한': 2, '푸짐한': 2, '지역주민이 찾는': 2, '전문적인': 1, '지역주민이찾는': 1, '중년이상이많은': 1, '조용한': 1, '오래된집': 1, '이국적/이색적': 1, '발렛주차': 9, '대형룸': 2, '무료주차': 2, '좌식': 1}",서울특별시 강남구 논현동 66-2,02-549-5378
240,"
뉴만두집
",정오 12시 - 오후 9시 30분                    ,"{'만두전골': '65,000원', '만두국': '14,000원', '콩비지': '11,000원', '빈대떡': '22,000원', '고추전': '22,000원'}","{'점심식사': 10, '저녁식사': 7, '혼밥': 6, '식사모임': 6, '가족외식': 2, '데이트': 2, '아이동반': 2, '술모임': 1, '아침식사': 1, '회식': 1, '실버푸드': 1, '서민적인': 9, '캐주얼한': 5, '푸짐한': 3, '깔끔한': 3, '숨은맛집': 2, '예쁜': 1, '시끌벅적한': 1, '고급스러운': 1, '격식있는': 1, '지역주민이찾는': 1, '지역주민이 찾는': 1, '주차불가': 3, '유료주차장 골목주차': 1}",서울특별시 강남구 신사동 661-1,02-544-3710
241,"
두레국수 본점
",오전 10시 30분 - 오후 9시                    ,"{'두레국수': '10,000원', '비빔국수': '10,000원', '비빔밥': '10,000원', '곱창전골': '19,000원', '쇠고기야채전골': '18,000원', '골뱅이파무침': '25,000원', '백세주': '8,000원', '국수사리 1인분': '3,000원', '전골볶음밥 1인분': '3,000원', '소주': '5,000원'}","{'점심식사': 10, '저녁식사': 4, '혼밥': 3, '가족외식': 2, '식사모임': 1, '술모임': 1, '실버푸드': 1, '데이트': 1, '서민적인': 8, '가성비좋은': 4, '캐주얼한': 3, '숨은맛집': 3, '지역주민이 찾는': 3, '지역주민이찾는': 3, '푸짐한': 2, '시끌벅적한': 1, '포장가능': 1}",서울특별시 강남구 신사동 626-79,02-3444-1421
