,resto_age,thumbnail,address,resto_name,sectors,location_x,location_y,phone_number,menu1,menu2,tag
10,notf,https://d12zq4w4guyljn.cloudfront.net/20220913200539_photo1_5f3a51b4b5f9.jpg,서울특별시 종로구 관수동 163,"
대련집
",notf,126.989065212964,37.5684558880909,02-2265-5349,사골칼국수,생배추보쌈(소),"{'저녁식사': 23, '점심식사': 22, '식사모임': 15, '술모임': 12, '회식': 8, '데이트': 6, '가족외식': 4, '혼밥': 3, '접대': 1, '아침식사': 1, '남자끼리': 1, '혼술': 1, '서민적인': 26, '시끌벅적한': 19, '숨은맛집': 6, '가성비좋은': 5, '지역주민이찾는': 5, '푸짐한': 4, '캐주얼한': 4, '깔끔한': 2, '토속적인': 1, '지역주민이 찾는': 1, '오래된집': 1, '주차불가': 8, '개별룸': 6, '대형룸': 5, '무료주차': 1}"
11,notf,https://d12zq4w4guyljn.cloudfront.net/20220831050155_photo1_5b502b20f463.jpg,서울특별시 종로구 혜화동 84-3,"
혜화 칼국수
",notf,127.001515682217,37.5865647477894,02-743-8212,국시,수육 대,"{'점심식사': 19, '저녁식사': 16, '가족외식': 12, '식사모임': 8, '혼밥': 7, '데이트': 5, '실버푸드': 3, '회식': 2, '술모임': 2, '접대': 2, '아침식사': 1, '대학로맛집': 1, '간식': 1, '모임': 1, '혜화맛집': 1, '남자끼리': 1, '아이동반': 1, '서민적인': 17, '시끌벅적한': 9, '지역주민이 찾는': 8, '지역주민이찾는': 5, '푸짐한': 4, '캐주얼한': 4, '가성비좋은': 4, '숨은맛집': 3, '이국적/이색적': 2, '토속적인': 2, '허름한': 2, '오래된집': 2, '아담한': 1, '중년이상이많은': 1, '조용한': 1, '무료주차': 8, '발렛주차': 2, '좌식': 1, '개별룸': 1}"
12,notf,https://d12zq4w4guyljn.cloudfront.net/20210118120938998_photo_fe1650f3c430.jpg,서울특별시 종로구 당주동 43,"
광화문집
",notf,126.974986986143,37.5713709876791,02-739-7737,돼지김치찌개,제육볶음,"{'점심식사': 13, '저녁식사': 9, '술모임': 2, '남자끼리': 2, '간식': 1, '패스': 1, '혼술': 1, '야식': 1, '시끌벅적한': 9, '서민적인': 8, '허름한': 5, '가성비좋은': 5, '오래된집': 2, '푸짐한': 1, '지저분': 1, '숨은맛집': 1, '아담한': 1, '지역주민이 찾는': 1, '현장대기필요': 3, '좌식': 1, '주차불가': 1}"
13,notf,https://d12zq4w4guyljn.cloudfront.net/20220331112539_photo1_713c7ebf4882.jpg,서울특별시 종로구 돈의동 27,"
찬양집
",notf,126.990279323836,37.5727926649751,02-743-1384,해물칼국수,고기만두,"{'점심식사': 19, '혼밥': 13, '저녁식사': 12, '식사모임': 8, '데이트': 5, '회식': 1, '여자끼리': 1, '남자끼리': 1, '가족외식': 1, '모임': 1, '혼술': 1, '해장': 1, '접대': 1, '간식': 1, '서민적인': 20, '가성비좋은': 12, '푸짐한': 10, '시끌벅적한': 9, '숨은맛집': 9, '지역주민이 찾는': 5, '캐주얼한': 4, '토속적인': 2, '아담한': 2, '오래된집': 1, '중년이상이많은': 1, '허름한': 1, '빈티지': 1, '주차불가': 2, '현장대기필요': 1}"
14,notf,https://d12zq4w4guyljn.cloudfront.net/20221001121315_photo1_2c3abbbfeb53.jpg,서울특별시 종로구 공평동 129,"
백부장집 닭한마리
",notf,126.982689740621,37.5718265600742,02-732-2565,닭한마리 (2인분),닭도리탕 (대),"{'점심식사': 18, '저녁식사': 16, '식사모임': 9, '술모임': 9, '가족외식': 8, '회식': 8, '데이트': 5, '실버푸드': 2, '모임': 1, '아이동반': 1, '혼밥': 1, '서민적인': 19, '시끌벅적한': 11, '숨은맛집': 7, '캐주얼한': 5, '푸짐한': 3, '지역주민이 찾는': 2, '가성비좋은': 2, '지역주민이찾는': 1, '토속적인': 1, '깔끔한': 1, '주차불가': 2, '대형룸': 1, '무료주차': 1}"
15,notf,https://d12zq4w4guyljn.cloudfront.net/20220827070312_photo1_2f2a62f2a66b.jpg,서울특별시 종로구 행촌동 209-35,"
대성집
",notf,126.960952409475,37.5727060585216,02-735-4259,도가니탕,도가니탕 특,"{'점심식사': 14, '저녁식사': 12, '혼밥': 6, '아침식사': 4, '가족외식': 3, '술모임': 3, '식사모임': 3, '해장': 1, '데이트': 1, '혼술': 1, '서민적인': 13, '시끌벅적한': 6, '푸짐한': 3, '지역주민이찾는': 3, '캐주얼한': 3, '가성비좋은': 3, '숨은맛집': 1, '지역주민이 찾는': 1, '무료주차': 5, '주차불가': 1}"
16,notf,https://d12zq4w4guyljn.cloudfront.net/20210920101608_photo1_0737b5043ff4.jpg,서울시 종로구 공평동 120-2,"
공평동 꼼장어
",notf,126.98285481219,37.5717014359384,02-738-1769,꼼장어,쭈꾸미,"{'술모임': 12, '저녁식사': 12, '데이트': 5, '회식': 4, '식사모임': 2, '남자끼리': 2, '점심식사': 1, '연인': 1, '여자끼리': 1, '친구': 1, '다이어트식단': 1, '서민적인': 14, '시끌벅적한': 12, '캐주얼한': 7, '가성비좋은': 5, '지역주민이 찾는': 2, '허름한': 2, '지역주민이찾는': 1, '노포': 1, '푸짐한': 1, '숨은맛집': 1, '현장대기필요': 1, '야외좌석': 1, '무료주차': 1}"
17,notf,https://d12zq4w4guyljn.cloudfront.net/20220115035306_photo1_7ec459740b53.jpg,서울시 종로구 관훈동 118-36,"
조금
",notf,126.98371432411,37.5753407660189,02-734-0783,전복솥밥,양송이솥밥,"{'점심식사': 16, '저녁식사': 12, '식사모임': 10, '데이트': 8, '가족외식': 7, '혼밥': 5, '접대': 4, '기념일': 2, '차모임': 2, '실버푸드': 2, '술모임': 2, '회식': 2, '아이동반': 1, '여자끼리': 1, '아침식사': 1, '조용한': 9, '숨은맛집': 8, '깔끔한': 7, '이국적/이색적': 5, '격식있는': 5, '고급스러운': 4, '푸짐한': 2, '서민적인': 2, '지역주민이찾는': 1, '지역주민이 찾는': 1, '복고풍': 1, '오래된집': 1, '좌식': 2, '대형룸': 1, '개별룸': 1, '주차불가': 1}"
18,notf,https://d12zq4w4guyljn.cloudfront.net/20220920075905_photo1_65b79cfdbc80.jpg,서울특별시 종로구 당주동 40,"
화목순대국전문
",notf,126.974738804839,37.5711912763918,02-723-8313,순대국,순순대탕,"{'점심식사': 16, '저녁식사': 13, '혼밥': 10, '술모임': 8, '아침식사': 6, '혼술': 4, '식사모임': 2, '남자끼리': 1, '회식': 1, '서민적인': 15, '시끌벅적한': 9, '가성비좋은': 7, '지역주민이찾는': 4, '캐주얼한': 4, '지역주민이 찾는': 1, '토속적인': 1, '허름한': 1, '오래된집': 1, '중년이상이많은': 1, '주차불가': 3, '24시간영업': 2}"
19,notf,https://d12zq4w4guyljn.cloudfront.net/20220909043837_photo1_413ae18293a5.jpg,서울특별시 종로구 낙원동 288,"
일미식당
",notf,126.987644585034,37.5722169531009,02-766-6588,청국장찌개 백반 1인,오징어볶음 백반 2인,"{'점심식사': 17, '저녁식사': 8, '식사모임': 7, '혼밥': 6, '데이트': 4, '아침식사': 3, '가족외식': 2, '간식': 1, '실버푸드': 1, '서민적인': 15, '숨은맛집': 8, '가성비좋은': 5, '지역주민이 찾는': 5, '지역주민이찾는': 4, '푸짐한': 4, '깔끔한': 3, '조용한': 3, '시끌벅적한': 2, '예쁜': 1, '아담한': 1, '캐주얼한': 1, '주차불가': 1}"
20,notf,https://d12zq4w4guyljn.cloudfront.net/20220829031255_photo1_254b1cf577ea.jpg,서울특별시 종로구 누하동 25-1,"
영화루
",notf,126.969021243655,37.5801412950445,02-738-1218,자장면,짬뽕,"{'저녁식사': 15, '점심식사': 14, '식사모임': 8, '가족외식': 8, '데이트': 6, '술모임': 4, '회식': 2, '아이동반': 2, '혼술': 1, '중국집': 1, '탕수육': 1, '아침식사': 1, '짜장면': 1, '서민적인': 9, '지역주민이찾는': 7, '캐주얼한': 7, '푸짐한': 5, '시끌벅적한': 4, '숨은맛집': 2, '조용한': 1, '가성비좋은': 1, '이국적/이색적': 1, '주차불가': 2, '무료주차': 1}"
21,notf,https://d12zq4w4guyljn.cloudfront.net/20211022015614_photo1_06d69fb0c864.jpg,서울시 종로구 관철동 5-1,"
뚝배기집
",notf,126.988506436054,37.5695574822923,02-2265-5744,우렁된장,된장찌개,"{'저녁식사': 10, '점심식사': 10, '혼밥': 5, '데이트': 2, '식사모임': 2, '아침식사': 2, '혼카페': 1, '실버푸드': 1, '서민적인': 13, '가성비좋은': 8, '숨은맛집': 3, '지역주민이찾는': 3, '시끌벅적한': 3, '지역주민이 찾는': 2, '푸짐한': 2, '캐주얼한': 1, '토속적인': 1, '아담한': 1, '허름한': 1, '오래된집': 1}"
22,notf,https://d12zq4w4guyljn.cloudfront.net/20220915084010_photo1_edd2f5913a1b.jpg,서울시 종로구 예지동 3-2,"
은성횟집
",notf,127.000098253713,37.5700971974086,02-2267-6813,대구매운탕(2인분),공기밥,"{'저녁식사': 13, '술모임': 9, '점심식사': 6, '식사모임': 2, '가족외식': 2, '데이트': 1, '서민적인': 9, '시끌벅적한': 8, '푸짐한': 4, '가성비좋은': 3, '캐주얼한': 3, '숨은맛집': 2, '지역주민이찾는': 2, '조용한': 1, '이국적/이색적': 1, '지역주민이 찾는': 1, '주차불가': 3, '포장가능': 1, '포장': 1}"
23,notf,https://d12zq4w4guyljn.cloudfront.net/20220916090738_photo1_2e6b526c2058.jpg,서울시 종로구 효제동 155,"
백제정육점
",notf,127.003951450617,37.572643704178,02-762-7491,육회(500g),등심(500g),"{'저녁식사': 9, '술모임': 9, '점심식사': 7, '회식': 6, '식사모임': 5, '가족외식': 3, '혼밥': 1, '데이트': 1, '서민적인': 9, '시끌벅적한': 8, '가성비좋은': 6, '푸짐한': 6, '숨은맛집': 3, '지역주민이찾는': 1}"
24,notf,https://d12zq4w4guyljn.cloudfront.net/20220519072141951_photo_c54d8d54a040.jpg,서울특별시 종로구 내자동 108,"
할매집
",notf,126.971443960847,37.5756745065346,02-735-2608,족발 (2人),"감자탕(2人), 小","{'저녁식사': 9, '점심식사': 6, '식사모임': 5, '술모임': 4, '가족외식': 2, '데이트': 2, '기념일': 1, '회식': 1, '혼밥': 1, '서민적인': 8, '시끌벅적한': 4, '캐주얼한': 3, '지역주민이찾는': 3, '푸짐한': 2, '지역주민이 찾는': 1, '숨은맛집': 1, '가성비좋은': 1, '오래된집': 1, '주차불가': 2}"
25,notf,https://d12zq4w4guyljn.cloudfront.net/20220701101551913_photo_fepyMr9BhR0u.jpg,서울특별시 종로구 낙원동 85-7,"
호반
",notf,126.989146122082,37.5733008174777,02-745-6618,순대국,육개장,"{'저녁식사': 9, '식사모임': 8, '술모임': 8, '점심식사': 7, '회식': 3, '접대': 3, '가족외식': 3, '데이트': 3, '혼밥': 3, '혼술': 2, '아침식사': 1, '서민적인': 10, '숨은맛집': 4, '시끌벅적한': 4, '푸짐한': 4, '가성비좋은': 4, '지역주민이 찾는': 2, '캐주얼한': 2, '깔끔한': 1, '이국적/이색적': 1, '조용한': 1, '지역주민이찾는': 1, '주차불가': 2, '개별룸': 2, '콜키지무료': 1, '대형룸': 1}"
26,notf,https://d12zq4w4guyljn.cloudfront.net/20200703053943_photo1_8e68deea3142.jpg,서울시 종로구 종로5가 282-21,"
원조원할매닭한마리
",notf,not found,not found,02-2279-2078,닭한마리,칼국수사리,"{'술모임': 9, '저녁식사': 8, '점심식사': 6, '회식': 3, '가족외식': 3, '식사모임': 2, '시끌벅적한': 9, '서민적인': 7, '가성비좋은': 2, '푸짐한': 2, '지역주민이찾는': 1, '캐주얼한': 1, '지역주민이 찾는': 1, '숨은맛집': 1}"
27,notf,https://d12zq4w4guyljn.cloudfront.net/20220626012021038_photo_e11ef1ea6f89.jpg,서울특별시 종로구 창신동 401-33,"
고기튀김
",notf,127.016674831657,37.570602199028,,고기튀김,오징어튀김,"{'간식': 10, '데이트': 6, '점심식사': 4, '혼술': 3, '저녁식사': 2, '술모임': 2, '혼밥': 1, '서민적인': 10, '시끌벅적한': 6, '숨은맛집': 4, '가성비좋은': 4, '지역주민이 찾는': 2, '지역주민이찾는': 1, '푸짐한': 1, '쓰레기': 1, '주차불가': 3, '야외좌석': 1}"
